Title,Year,Rating,Director,Actors,URL
Inside Out,2015,8.2,Pete Docter,"Amy Poehler, Bill Hader",https://www.imdb.com/title/tt2096673/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_144
Casino,1995,8.2,Martin Scorsese,"Robert De Niro, Sharon Stone",https://www.imdb.com/title/tt0112641/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_145
Room,2015,8.2,Lenny Abrahamson,"Brie Larson, Jacob Tremblay",https://www.imdb.com/title/tt3170832/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_146
Mr. Smith Goes to Washington,1939,8.1,Frank Capra,"James Stewart, Jean Arthur",https://www.imdb.com/title/tt0031679/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_147
The Elephant Man,1980,8.1,David Lynch,"Anthony Hopkins, John Hurt",https://www.imdb.com/title/tt0080678/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_148
The Wolf of Wall Street,2013,8.1,Martin Scorsese,"Leonardo DiCaprio, Jonah Hill",https://www.imdb.com/title/tt0993846/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_149
V for Vendetta,2005,8.1,James McTeigue,"Hugo Weaving, Natalie Portman",https://www.imdb.com/title/tt0434409/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_150
Blade Runner,1982,8.1,Ridley Scott,"Harrison Ford, Rutger Hauer",https://www.imdb.com/title/tt0083658/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_151
Warrior,2011,8.1,Gavin O'Connor,"Tom Hardy, Nick Nolte",https://www.imdb.com/title/tt1291584/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_152
Smultronstället,1957,8.1,Ingmar Bergman,"Victor Sjöström, Bibi Andersson",https://www.imdb.com/title/tt0050986/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_153
The General,1926,8.1,Clyde Bruckman,"Buster Keaton, Marion Mack",https://www.imdb.com/title/tt0017925/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_154
Dial M for Murder,1954,8.1,Alfred Hitchcock,"Ray Milland, Grace Kelly",https://www.imdb.com/title/tt0046912/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_155
Trainspotting,1996,8.1,Danny Boyle,"Ewan McGregor, Ewen Bremner",https://www.imdb.com/title/tt0117951/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_156
Sherlock Jr.,1924,8.1,Buster Keaton,"Buster Keaton, Kathryn McGuire",https://www.imdb.com/title/tt0015324/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_157
Gone with the Wind,1939,8.1,Victor Fleming,"Clark Gable, Vivien Leigh",https://www.imdb.com/title/tt0031381/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_158
No Country for Old Men,2007,8.1,Ethan Coen,"Tommy Lee Jones, Javier Bardem",https://www.imdb.com/title/tt0477348/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_159
The Sixth Sense,1999,8.1,M. Night Shyamalan,"Bruce Willis, Haley Joel Osment",https://www.imdb.com/title/tt0167404/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_160
Gran Torino,2008,8.1,Clint Eastwood,"Clint Eastwood, Bee Vang",https://www.imdb.com/title/tt1205489/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_161
There Will Be Blood,2007,8.1,Paul Thomas Anderson,"Daniel Day-Lewis, Paul Dano",https://www.imdb.com/title/tt0469494/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_162
Fargo,1996,8.1,Joel Coen,"William H. Macy, Frances McDormand",https://www.imdb.com/title/tt0116282/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_163
The Deer Hunter,1978,8.1,Michael Cimino,"Robert De Niro, Christopher Walken",https://www.imdb.com/title/tt0077416/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_164
The Thing,1982,8.1,John Carpenter,"Kurt Russell, Wilford Brimley",https://www.imdb.com/title/tt0084787/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_165
Finding Nemo,2003,8.1,Andrew Stanton,"Albert Brooks, Ellen DeGeneres",https://www.imdb.com/title/tt0266543/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_166
The Big Lebowski,1998,8.1,Joel Coen,"Jeff Bridges, John Goodman",https://www.imdb.com/title/tt0118715/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_167
Idi i smotri,1985,8.1,Elem Klimov,"Aleksey Kravchenko, Olga Mironova",https://www.imdb.com/title/tt0091251/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_168
Kill Bill: Vol. 1,2003,8.1,Quentin Tarantino,"Uma Thurman, David Carradine",https://www.imdb.com/title/tt0266697/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_169
Cool Hand Luke,1967,8.1,Stuart Rosenberg,"Paul Newman, George Kennedy",https://www.imdb.com/title/tt0061512/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_170
Rebecca,1940,8.1,Alfred Hitchcock,"Laurence Olivier, Joan Fontaine",https://www.imdb.com/title/tt0032976/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_171
Shutter Island,2010,8.1,Martin Scorsese,"Leonardo DiCaprio, Emily Mortimer",https://www.imdb.com/title/tt1130884/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_172
Sunrise: A Song of Two Humans,1927,8.1,F.W. Murnau,"George O'Brien, Janet Gaynor",https://www.imdb.com/title/tt0018455/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_173
Tôkyô monogatari,1953,8.1,Yasujirô Ozu,"Chishû Ryû, Chieko Higashiyama",https://www.imdb.com/title/tt0046438/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_174
Hacksaw Ridge,2016,8.1,Mel Gibson,"Andrew Garfield, Sam Worthington",https://www.imdb.com/title/tt2119532/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_175
Mary and Max,2009,8.1,Adam Elliot,"Toni Collette, Philip Seymour Hoffman",https://www.imdb.com/title/tt0978762/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_176
How to Train Your Dragon,2010,8.1,Dean DeBlois,"Jay Baruchel, Gerard Butler",https://www.imdb.com/title/tt0892769/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_177
Gone Girl,2014,8.1,David Fincher,"Ben Affleck, Rosamund Pike",https://www.imdb.com/title/tt2267998/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_178
Eskiya,1996,8.1,Yavuz Turgul,"Sener Sen, Ugur Yücel",https://www.imdb.com/title/tt0116231/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_179
Relatos salvajes,2014,8.1,Damián Szifron,"Darío Grandinetti, María Marull",https://www.imdb.com/title/tt3011894/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_180
Into the Wild,2007,8.1,Sean Penn,"Emile Hirsch, Vince Vaughn",https://www.imdb.com/title/tt0758758/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_181
Life of Brian,1979,8.1,Terry Jones,"Graham Chapman, John Cleese",https://www.imdb.com/title/tt0079470/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_182
Andrei Rublev,1966,8.1,Andrei Tarkovsky,"Anatoliy Solonitsyn, Ivan Lapikov",https://www.imdb.com/title/tt0060107/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_183
It Happened One Night,1934,8.1,Frank Capra,"Clark Gable, Claudette Colbert",https://www.imdb.com/title/tt0025316/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_184
Platoon,1986,8.1,Oliver Stone,"Charlie Sheen, Tom Berenger",https://www.imdb.com/title/tt0091763/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_185
In the Name of the Father,1993,8.1,Jim Sheridan,"Daniel Day-Lewis, Pete Postlethwaite",https://www.imdb.com/title/tt0107207/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_186
Rang De Basanti,2006,8.1,Rakeysh Omprakash Mehra,"Aamir Khan, Soha Ali Khan",https://www.imdb.com/title/tt0405508/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_187
Jurassic Park,1993,8.1,Steven Spielberg,"Sam Neill, Laura Dern",https://www.imdb.com/title/tt0107290/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_188
Stand by Me,1986,8.1,Rob Reiner,"Wil Wheaton, River Phoenix",https://www.imdb.com/title/tt0092005/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_189
The Grand Budapest Hotel,2014,8.1,Wes Anderson,"Ralph Fiennes, F. Murray Abraham",https://www.imdb.com/title/tt2278388/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_190
Network,1976,8.1,Sidney Lumet,"Faye Dunaway, William Holden",https://www.imdb.com/title/tt0074958/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_191
Hotel Rwanda,2004,8.1,Terry George,"Don Cheadle, Sophie Okonedo",https://www.imdb.com/title/tt0395169/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_192
La passion de Jeanne d'Arc,1928,8.1,Carl Theodor Dreyer,"Maria Falconetti, Eugene Silvain",https://www.imdb.com/title/tt0019254/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_193
Stalker,1979,8.1,Andrei Tarkovsky,"Alisa Freyndlikh, Aleksandr Kaydanovskiy",https://www.imdb.com/title/tt0079944/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_194
Ben-Hur,1959,8.1,William Wyler,"Charlton Heston, Jack Hawkins",https://www.imdb.com/title/tt0052618/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_195
Le salaire de la peur,1953,8.1,Henri-Georges Clouzot,"Yves Montand, Charles Vanel",https://www.imdb.com/title/tt0046268/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_196
Persona,1966,8.1,Ingmar Bergman,"Bibi Andersson, Liv Ullmann",https://www.imdb.com/title/tt0060827/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_197
The Truman Show,1998,8.1,Peter Weir,"Jim Carrey, Ed Harris",https://www.imdb.com/title/tt0120382/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_198
Rush,2013,8.1,Ron Howard,"Daniel Brühl, Chris Hemsworth",https://www.imdb.com/title/tt1979320/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_199
Salinui chueok,2003,8.1,Joon-ho Bong,"Kang-ho Song, Sang-kyung Kim",https://www.imdb.com/title/tt0353969/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_200
12 Years a Slave,2013,8.1,Steve McQueen,"Chiwetel Ejiofor, Michael Kenneth Williams",https://www.imdb.com/title/tt2024544/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_201
Million Dollar Baby,2004,8.1,Clint Eastwood,"Hilary Swank, Clint Eastwood",https://www.imdb.com/title/tt0405159/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_202
Mad Max: Fury Road,2015,8.1,George Miller,"Tom Hardy, Charlize Theron",https://www.imdb.com/title/tt1392190/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_203
Les quatre cents coups,1959,8.1,François Truffaut,"Jean-Pierre Léaud, Albert Rémy",https://www.imdb.com/title/tt0053198/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_204
Spotlight,2015,8.1,Tom McCarthy,"Mark Ruffalo, Michael Keaton",https://www.imdb.com/title/tt1895587/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_205
Logan,2017,8.1,James Mangold,"Hugh Jackman, Patrick Stewart",https://www.imdb.com/title/tt3315342/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_206
Blade Runner 2049,2017,8.1,Denis Villeneuve,"Harrison Ford, Ryan Gosling",https://www.imdb.com/title/tt1856101/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_207
Before Sunrise,1995,8.1,Richard Linklater,"Ethan Hawke, Julie Delpy",https://www.imdb.com/title/tt0112471/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_208
Amores perros,2000,8.1,Alejandro G. Iñárritu,"Emilio Echevarría, Gael García Bernal",https://www.imdb.com/title/tt0245712/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_209
Hachi: A Dog's Tale,2009,8.1,Lasse Hallström,"Richard Gere, Joan Allen",https://www.imdb.com/title/tt1028532/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_210
Prisoners,2013,8.1,Denis Villeneuve,"Hugh Jackman, Jake Gyllenhaal",https://www.imdb.com/title/tt1392214/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_211
Butch Cassidy and the Sundance Kid,1969,8.1,George Roy Hill,"Paul Newman, Robert Redford",https://www.imdb.com/title/tt0064115/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_212
The Princess Bride,1987,8.1,Rob Reiner,"Cary Elwes, Mandy Patinkin",https://www.imdb.com/title/tt0093779/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_213
Kaze no tani no Naushika,1984,8.0,Hayao Miyazaki,"Sumi Shimamoto, Mahito Tsujimura",https://www.imdb.com/title/tt0087544/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_214
Catch Me If You Can,2002,8.0,Steven Spielberg,"Leonardo DiCaprio, Tom Hanks",https://www.imdb.com/title/tt0264464/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_215
Harry Potter and the Deathly Hallows: Part 2,2011,8.0,David Yates,"Daniel Radcliffe, Emma Watson",https://www.imdb.com/title/tt1201607/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_216
